气温<br \>氣溫,qìwēn (n),<br \>Air Temperature,lesson_1
热气 <br \>熱氣,rèqì (n),<br \>Steam; Heat,lesson_1
热浪<br \>熱浪,rèlàng (n),<br \>Heat wave,lesson_1
火车站<br \>火車站,huǒchēzhàn (n),<br \>Train Station,lesson_1
旅客,lǚkè (n),<br \>Passenger; Traveler,lesson_1
大厅<br \>大廳,dàtīng (n),<br \>Lobby; Hall,lesson_1
人数<br \>人數,rénshù (n),<br \>Number of People,lesson_1
好不容易,hǎobùróngyì (adj/adv),<br \>Scarcely; Finally; Very Difficult,lesson_1
人次,réncì (n),<br \>Person-time,lesson_1
电视台<br \>電視台,diànshìtái (n),<br \>Television Station,lesson_1
结果<br \>結果,jiéguǒ (n),<br \>Result,lesson_1
人群,rénqún (n),<br \>Crowd,lesson_1
街景,jiējǐng (n),<br \>Street Scene,lesson_1
日商,rìshāng (n),<br \>Japanese Businessman,lesson_1
爆炸,bàozhà (n),"<br \>Explode, Blast",lesson_1
摄氏<br \>攝氏,shèshì (n),<br \>Celsius,lesson_1
度,dù (n),<br \>Degree,lesson_1
分别,fēnbié (adv),<br \>Separately; Differently; Respectfully,lesson_1
统计<br \>（統計）,tǒngjì (n/v),<br \>Statistics; Census; To Gather Statistics,lesson_1
流量,liúliàng (n),<br \>Rate of Flow,lesson_1
厉害<br \>厲害,lìhài (adj),<br \>Terrible; Powerful,lesson_1
难以<br \>難以,nányǐ (adv),"<br \>Hard to, Difficult to",lesson_1
忍受,rěnshòu (v),"<br \>To Bear, To Stand, To Endure",lesson_1
汗,hàn (n),<br \>Sweat,lesson_1
超市,chāoshì (n),<br \>Supermarket,lesson_1
质量<br \>質量,zhìliàng (n),<br \>Quality,lesson_1
二氧化碳,èryǎnghuàtàn (n),<br \>Carbon Dioxide,lesson_1
超过<br \>超過,chāoguò (v),"<br \>To Surpass, To Exceed",lesson_1
规定<br \>規定,guīdìng (n/v),<br \>Regulation; To Regulate,lesson_1
标准<br \>標準,biāozhǔn (n),<br \>Standard,lesson_1
期间<br \>期間,qījiān (n),<br \>Period; Duration,lesson_1
高峰,gāofēng (n),<br \>Peak; Height,lesson_1
将近<br \>將近,jiāngjìn (adv),<br \>Close to; Almost,lesson_1
聚集,jùjí (v),<br \>To Gather; To Get Together,lesson_1
最终<br \>（最終）,zuìzhōng (adv),<br \>Finally,lesson_1
挤<br \>擠,jǐ (adj/v),"<br \>To Shove, To Push; Crowded",lesson_1
提前,tíqián (v),<br \>To Shift to an Earlier Time,lesson_1
排队<br \>排隊,páiduì (vo),<br \>To Line-up,lesson_1
检票<br \>檢票,jiǎnpiào (vo),<br \>To Check Tickets,lesson_1
改成,gǎichéng (vc),<br \>To Change to/into,lesson_1
临时<br \>臨時,línshí (adj),<br \>Temporary,lesson_1
广场<br \>廣場,guǎngchǎng (n),<br \>Square (Place),lesson_1
车厢<br \>車廂,chēxiāng (n),"<br \>Carriage, Compartment",lesson_1
走到,zǒudào (n),<br \>Aisle,lesson_1
厕所<br \>廁所,cèsuǒ (n),"<br \>Washroom, Restroom",lesson_1
拥挤<br \>擁擠,yōngjǐ (adj),"<br \>Crowded, Packed",lesson_1
不堪,bùkān (v),"<br \>Cannot Bear, Cannot Stand",lesson_1
春季,chūnjì (n),<br \>Spring,lesson_1
批,pī (m),<br \>Batch,lesson_1
似的,shìdė (part),"<br \>Seem to be, Like, As",lesson_1
惊<br \>驚,jīng (v),"<br \>To Amaze, To Shock, To Startle",lesson_1
呼,hū (v),"<br \>To Exhale; To Shout, To Cry Out",lesson_1
蚂蚁<br \>螞蟻,mǎyǐ (n),<br \>Ant,lesson_1
汇<br \>匯,huì (v),"<br \>To Converge, To Gather Together",lesson_1
密,mì (adj),"<br \>Thick, Dense",lesson_1
评价<br \>評價,píngjià (n/v),<br \>Comment; To Praise,lesson_1
简直<br \>簡直,jiǎnzhí (adv),<br \>Simply,lesson_1
奇观<br \>奇觀,qíguān (n),"<br \>Wonder, Spectacle",lesson_1
重庆<br \>重慶,chóngqìng (pron),<br \>Chongqing - A large city in the Sichuan Province,lesson_1
广州<br \>廣州,guǎngzhōu (pron),<br \>Guangzhou - Formerly known as Canton,lesson_1
新大陆<br \>新大陸,xīndàlù (n),<br \>New Continent/World,lesson_1
海珠桥<br \>海珠橋,hǎizhūqiáo (pron),<br \>A famous bridge in Guangzhou,lesson_1
北京日报<br \>北京日報,běijīng rìbào (pron),<br \>Beijing Daily Newspaper,lesson_1
广交会<br \>廣交會,guǎngjiāohuì (pron),<br \>Guangzhou Export Commodities Fair,lesson_1
难上加难<br \>難上加難,nánshàngjiānán (ie),<br \>To make a difficult situation even more difficult,lesson_1
南来北往<br \>南來北往,nánláiběiwǎng (ie),<br \>Coming and Going,lesson_1
证书<br \>證書,zhèngshū (n),<br \>Certificate; Diploma,lesson_2
出生,chūshēng (v),<br \>To be Born,lesson_2
人口,rénkǒu (n),<br \>Population,lesson_2
祝福,zhùfú (n/v),<br \>Blessing; Benediction; To Wish Happiness to,lesson_2
上升,shàngshēng (v),"<br \>To Rise, To Ascend",lesson_2
下降,xiàjiàng (v),"<br \>To Descend, To Drop, To Fall, To Decline",lesson_2
数量<br \>數量,shùliàng (n),"<br \>Quantity, Amount",lesson_2
老龄<br \>老齡,lǎolíng (n),<br \>Old Age,lesson_2
重男轻女<br \>重男輕女,zhòngnánqīngnǚ (ie),<br \>To Value Males More than Females,lesson_2
谈论<br \>談論,tánlùn (n/v),"<br \>Discussion; To Talk About, To Discuss",lesson_2
公民,gōngmín (n),<br \>Citizen,lesson_2
达到<br \>達到,dádào (v),"<br \>To Reach, To Achieve, To Attain",lesson_2
随着<br \>隨著,suízhė (prep),"<br \>Along With, In the Wake of",lesson_2
婴<br \>嬰,yīng (n),"<br \>Infant, Baby",lesson_2
正式,zhèngshì (adj),"<br \>Formal, Official",lesson_2
接受,jiēshòu (v),"<br \>To Accept; To Take on, To Undertake",lesson_2
颁发<br \>頒發,bānfā (v),"<br \>To Issue; To Award (Certificate, Medal)",lesson_2
荣誉<br \>榮譽,róngyù (n),"<br \>Glory, Honor, Credit",lesson_2
无比<br \>無比,wúbǐ (adv),"<br \>Incomparably, Unparalleled",lesson_2
喜悦,xǐyuè (adj/n),"<br \>Happy, Joyous; Happiness",lesson_2
忧<br \>憂,yōu (v),"<br \>To be Worried, To be Concerned, To Worry",lesson_2
对<br \>對,duì (m),"<br \>Pair, Couple",lesson_2
值得,zhídė (v),"<br \>To be Worth, To Deserve",lesson_2
实行<br \>實行,shíxíng (v),"<br \>To Carry Out, To Implement",lesson_2
生育,shēngyù (n/v),<br \>(Child) Production; To Give Birth to,lesson_2
政策,zhèngcè (n),<br \>Policy,lesson_2
世纪<br \>世紀,shìjì (n),<br \>Century,lesson_2
年代,niándài (n),"<br \>Decade, Time, Era",lesson_2
预期<br \>預期,yùqī (v),"<br \>To Expect, To Anticipate, To Predict",lesson_2
敲,qiāo (v),"<br \>To Knock, To Strike, To Beat",lesson_2
警钟<br \>警鐘,jǐngzhōng (n),<br \>Alarm Bell,lesson_2
面临<br \>面臨,miànlín (v),<br \>To be Faced With,lesson_2
挑战<br \>挑戰,tiǎozhàn (n/vo),"<br \>Challenge, To Challenge",lesson_2
预计<br \>預計,yùjì (v),"<br \>To Estimate, To Calculate in Advance",lesson_2
素质<br \>素質,sùzhì (n),<br \>Innate Quality,lesson_2
资源<br \>資源,zīyuán (n),<br \>Resources,lesson_2
年限,niánxiàn (n),<br \>A Fixed Number of Years,lesson_2
结构<br \>結構,jiégòu (n),"<br \>Structure, Composition",lesson_2
首先,shǒuxiān (adv),"<br \>First, First of All",lesson_2
率,lü̆ (n),"<br \>Rate, Proportion, Ratio",lesson_2
比例,bǐlì (n),"<br \>Ratio, Proportion",lesson_2
幅度,fúdù (n),"<br \>Range, Scope, Extent",lesson_2
超过<br \>超過,chāoguò (v),"<br \>To Surpass, To Exceed",lesson_2
此外,cǐwài (conj),"<br \>Besides, In Addition, Furthermore",lesson_2
传统<br \>傳統,chuántǒng (adj/n),<br \>Traditional; Tradition,lesson_2
观念<br \>觀念,guānniàn (n),"<br \>Notion, Thought, Concept",lesson_2
性别,xìngbié (n),<br \>Gender,lesson_2
失调<br \>失調,shītiáo (adj/v),<br \>Unbalanced; To Lose Balance,lesson_2
抽样<br \>抽樣,chōuyàng (n/vo),<br \>Sample; To Take Sample,lesson_2
调查<br \>調查,diàochá (n/v),"<br \>Survey, Investigation; To Investigate",lesson_2
关注<br \>關注,guānzhù (v),<br \>To Play Close Attention to,lesson_2
焦点<br \>焦點,jiāodiǎn (n),"<br \>Focus, Focal Point, Central Issue",lesson_2
采用 <br \>採用,cǎiyòng,adopt; use,lesson_3
制度,zhìdù,system,lesson_3
老百姓,lǎobǎixìng,ordinary people,lesson_3
兴建 <br \>興建,xīngjiàn,to build; to construct,lesson_3
归 <br \>歸,guī,return,lesson_3
补助 <br \>補助,bǔzhù,subsidize,lesson_3
住宅,zhùzhái,residence / tenement,lesson_3
面积 <br \>面積,miànjī,area,lesson_3
平方,píngfāng,square,lesson_3
米,mǐ,meter,lesson_3
负担 <br \>負擔,fùdān,burden / to bear a burden,lesson_3
收入,shōurù,income; revenue,lesson_3
维修 <br \>維修,wéixiū,maintain and repair,lesson_3
广大 <br \>廣大,guǎngdà,vast; expansive,lesson_3
分配,fēnpèi,distribute / to assign / to allocate,lesson_3
公正,gōngzhèng,"just, fair, impartial",lesson_3
严重 <br \>嚴重,yánzhòng,serious,lesson_3
鼓励<br \>鼓勵,gǔlì,to encourage,lesson_3
采取 <br \>採取,cǎiqǔ,take; adopt,lesson_3
措施,cuòshī,measure; step,lesson_3
调整 <br \>調整,tiáozhěng,adjustment,lesson_3
贷款 <br \>貸款,dàikuǎn,loan,lesson_3
价格 <br \>價格,jiàgé,price,lesson_3
法律,fǎlǜ,law,lesson_3
权 <br \>權,quán,authority/power/right,lesson_3
至于 <br \>至於,zhìyú,as for,lesson_3
制,zhì,system,lesson_3
迅速,xùnsù,rapid / speedy / fast,lesson_3
宽敞 <br \>寬敞,kuānchǎng,spacious; roomy; commodious,lesson_3
舒适 <br \>舒適,shūshì,comfortable; cozy; snug,lesson_3
扩大 <br \>擴大,kuòdà,enlarge; expand; extend,lesson_3
改善,gǎishàn,improve,lesson_3
居住,jūzhù,reside,lesson_3
公寓,gōngyù,apartment,lesson_3
豪华 <br \>豪華,háohuá,luxurious,lesson_3
别墅,biéshù,villa,lesson_3
纷纷 <br \>紛紛,fēnfēn,one after another,lesson_3
统计 <br \>統計,tǒngjì,statistics,lesson_3
局,jú,bureau,lesson_3
商品,shāngpǐn,good / commodity / merchandise,lesson_3
速度,sùdù,speed; pace,lesson_3
造成,zàochéng,"to cause, bring about",lesson_3
设法 <br \>設法,shèfǎ,"try, manage, strive",lesson_3
限制,xiànzhì,restrict; limit,lesson_3
建造,jiànzào,construct,lesson_3
面向,miànxiàng,face; be geared to the needs of; cater to,lesson_3
争取,zhēngqǔ,to strive for,lesson_3
功能,gōngnéng,function,lesson_3
配套,pèitào,to form a complete set,lesson_3
设施 <br \>設施,shèshī,"installation, facilities",lesson_3
齐全 <br \>齊全,qíquán,well-stocked; complete,lesson_3
受,shòu,get; receive; suffer,lesson_4
损害 <br \>損害,sǔnhài,"damage; harm, injure",lesson_4
恢复,huīfù,to recover; restore,lesson_4
义务 <br \>義務,yìwù,compulsory / obligatory / obligation,lesson_4
程度,chéngdù,extent; level; standard; degree,lesson_4
大专 <br \>大專,dàzhuān,"junior college, associates degree",lesson_4
本科,běnkē,undergraduate education,lesson_4
研究生,yánjiūshēng,graduate student,lesson_4
师资 <br \>師資,shīzī,faculty of an educational institution,lesson_4
入学<br \>入學,rùxué,"to start school, enter school",lesson_4
高考,gāokǎo,college entrance exam,lesson_4
竞争 <br \>競爭,jìngzhēng,to compete; competition,lesson_4
激烈,jīliè,intense / acute / fierce,lesson_4
家长 <br \>家長,jiāzhǎng,parents,lesson_4
划,huà,draw or mark a line,lesson_4
句号 <br \>句號,jùhào,period (punctuation); full stop,lesson_4
前途,qiántú,future,lesson_4
硕士 <br \>碩士,shuòshì,master degree,lesson_4
博士,bóshì,doctoral degree,lesson_4
学位 <br \>學位,xuéwèi,"academic degree, degree",lesson_4
免费 <br \>免費,miǎnfèi,free of charge,lesson_4
人才,réncái,talented person,lesson_4
学历 <br \>學歷,xuélì,academic credentials;diploma,lesson_4
逐渐 <br \>逐漸,zhújiàn,gradually,lesson_4
兴起 <br \>興起,xīngqǐ,rise; spring up,lesson_4
管理,guǎnlǐ,to supervise / to manage / to administer / management / administration,lesson_4
金融,jīnróng,banking / finance / financial,lesson_4
留学 <br \>留學,liúxué,study abroad,lesson_4
理想,lǐxiǎng,ideal,lesson_4
寄托 <br \>寄託,jìtuō,"place (hope, feeling, etc.) on",lesson_4
族,zú,ethnicity; race; a group of people with common features,lesson_4
待遇,dàiyù,treatment / pay / wages / treatment / status / salary,lesson_4
地位,dìwèi,position / status / place,lesson_4
被迫,bèipò,be compelled / be forced,lesson_4
转行 <br \>轉行,zhuǎn​háng,change profession,lesson_4
选修 <br \>選修,xuǎnxiū,take as an elective course,lesson_4
师范<br \>師範,shīfàn,teacher-training / pedagogical / normal (school),lesson_4
队伍 <br \>隊伍,duìwu,troops; ranks,lesson_4
颁布 <br \>頒布,bānbù,promulgate / issue / publish,lesson_4
一系列,yīxìliè,a series of; a string of,lesson_4
逐,zhú,one by one,lesson_4
圣经 <br \>聖經,shènɡjīnɡ,bible,lesson_5
上帝,shàngdì,God,lesson_5
创造 <br \>創造,chuàngzào,create,lesson_5
推行,tuīxíng,"carry out, implement",lesson_5
清晨,qīngchén,early morning,lesson_5
叮,dīng,ringing sound,lesson_5
阵 <br \>陣,zhèn,a short period; a spell,lesson_5
一口气 <br \>一口氣,yīkǒuqì,one breath / in one breath,lesson_5
哈欠,hāqian,yawn,lesson_5
摇 <br \>搖,yáo,sway; shake,lesson_5
优秀 <br \>優秀,yōuxiù,excellent; fine; outstanding,lesson_5
拼,pīn,go all out in work,lesson_5
丝 <br \>絲,sī,silk,lesson_5
无奈 <br \>無奈,wúnài,helpless,lesson_5
唉,ài,sigh,lesson_5
压 <br \>壓,yā,press down,lesson_5
喘,chuǎn,breathe rapidly; gasp for air,lesson_5
科目,kēmù,school subject,lesson_5
发火 <br \>發火,fāhuǒ,get angry; lose one's temper,lesson_5
期待,qīdài,anticipate; expect,lesson_5
目光,mùguāng,sight / vision / view,lesson_5
律师 <br \>律師,lǜshī,lawyer,lesson_5
工程师,gōngchéngshī,engineer,lesson_5
堆,duī,a pile / a mass / heap / stack,lesson_5
柜子 <br \>櫃子,guìzi,cupboard; cabinet,lesson_5
锁 <br \>鎖,suǒ,lock,lesson_5
